video_id,title,thumbnail_url,views,likes,comments,subscriber_count,date_posted,duration,tags,category
WhPz1AJLpT8,"New2025 Rolls-Royce Phantom: Reviewing the King of Luxury Cars""first look",https://i.ytimg.com/vi/WhPz1AJLpT8/maxresdefault.jpg,79,1,0,29,2024-08-28T13:33:14Z,155.0,"['2025 rolls royce phantom', '2025 rolls royce pickup', 'rolls royce phantom', 'rolls royce phantom 2024', '2024 rolls royce phantom', 'rolls royce ghost 2025', 'rolls royce phantom 2023', '2023 rolls royce phantom', '2025 rolls-royce phantom', 'new rolls royce phantom', 'rolls royce phantom series ii', 'rolls royce phantom series 2', 'rolls royce phantom mansory', '2023 rolls royce phantom ewb', 'new 2024 rolls royce phantom', '2025 rolls-royce', 'rolls-royce phantom', 'rolls-royce phantom 2025']",People & Blogs
40bAjRnCUo4,2022 Genesis G70 Review: The BEST small luxury saloon?,https://i.ytimg.com/vi/40bAjRnCUo4/maxresdefault.jpg,632,9,7,11300,2022-06-05T11:00:11Z,948.0,"['genesis g70', 'genesis g70 review', 'g70 genesis', 'hyundai genesis', 'genesis g70 interior', '2022 g70', '2022 genesis g70', 'genesis usa youtube', 'genesis youtube', 'genesis motor', '2022 genesis g70 review', 'genesis g70 2022', 'genesis sedan', 'genesis g70 2022 review', '2020 genesis g70', '2019 genesis g70', 'g70 review', 'shorts', 'new genesis g70', 'genesis g70 price', '2021 genesis g70', 'genesis g70 road test', 'genesis g70 review 2022', '2022 genesis g70 sport', 'new 2022 genesis g70']",Science & Technology
lHK1xawogJY,"Luxury, Speed, and Surprises: Should you buy a used Audi A3? | El.P Reviews | Used car review.",https://i.ytimg.com/vi/lHK1xawogJY/maxresdefault.jpg,213,23,17,4160,2024-09-01T15:30:11Z,958.0,"['#AudiA38V', '#UsedAudiA3', '#AudiA3Review', '#AudiA3Problems', '#AudiA3Reliability', '#AudiA3Maintenance', '#AudiA3Features', '#AudiA3Ownership', '#AudiA3Engine', '#AudiA3Interior', '#AudiA3Performance', '#AudiA3Technology', '#AudiA3TFSI', '#AudiA3TDI', '#AudiS3', '#AudiA3Mods', '#AudiA3Issues', '#AudiA3BuyersGuide', '#AudiA3Specs', '#AudiA3Info', '#Nairobi', '#Kenya', '#NairobiCars', '#KenyaCarMarket', '#AudiReview', '#CarReview']",Autos & Vehicles
OCLGDpVYBhk,Aston martin vantage 2022 - Luxury  that no one believes,https://i.ytimg.com/vi/OCLGDpVYBhk/maxresdefault.jpg,10153,148,4,2890,2022-07-12T10:00:10Z,237.0,"['car reviews', 'استعراض سيارات', 'استعراض عربيات في مصر', 'عربيات مصر', 'Egypt Cars Reviews', 'best cars', 'عربيات كيا', 'اسعراض عربيات الماني', 'Luxury and luxury cars', 'الرفاهية والفخامه السيارات', 'التفاصيل الخارجية والداخلية للسيارة', 'Car exterior and interior details', '#cinematiccars', 'Aston martin vantage', 'Aston Martin interior and exterior design', 'reviews aston martin 2022', 'aston martin', 'vantage 2022', 'Internal and external reviews', 'استون مارتن فانتاج', 'استون مارتن الجديدة']",Autos & Vehicles
UplB7YWisHo,2025-26 BMW X6 M Review: Is This The Best luxury SUV Ever? #bmw,https://i.ytimg.com/vi/UplB7YWisHo/sddefault.jpg,355,2,2,1050,2024-08-31T22:33:00Z,244.0,"['2025 bmw', '2025 bmw m8', 'bmw m8 2025', '2025 bmw x5', 'bmw m4 2025', 'bmw x6 2025', 'new bmw 2025', 'bmw 2025 suv', '2025 bmw x3m', '2025 bmw cars', '2025 8 series', 'bmw 2025 cars', '2025 new cars', 'new cars 2025', 'bmw m8 gtr 2025', 'bmw m850i 2025', 'bmw 2025 sedan', '2025 bmw x3 g45', 'gle 63 amg 2025', '2025 bmw pickup', 'bmw pickup 2025', '2025 bmw x5 m60i', 'bmw 2025 models', 'bmw 2025 lineup', 'bmw 2025 review', 'bmw 2025 hybrid', '2025 bmw 4 seris']",Autos & Vehicles
oiZ0U0mMz1U,The 10 Most Luxury Car Logos: What They Mean and Why They're So Expensive,https://i.ytimg.com/vi/oiZ0U0mMz1U/maxresdefault.jpg,1280,7,0,2120,2022-12-04T14:00:20Z,592.0,"['luxury car logo', 'guess the car logo', 'car logos explained', 'lamborghini logo', 'porsche logo', 'mercedes logo', 'audi logo', 'Logotypes', 'secret symbol', 'what logos mean', 'logo secrets', 'company secrets', 'BMW', 'Hidden Meanings In Logos', 'World Famous Car Logos', 'Secrets Behind Famous Logos', 'hidden messages in logos', 'porsche car logo meaning', 'lamborghini car logo meaning', 'Car logo meaning and history', 'Secrets behind the world famous car logos', 'Ferrari car logo meaning', 'logo hidden meaning']",Entertainment
UfUoG0sxa1E,Unveiling the 2024 Huawei S9 Luxury Sedan: Ultimate In-Depth Review & Features Breakdown !,https://i.ytimg.com/vi/UfUoG0sxa1E/maxresdefault.jpg,116,3,4,107,2024-09-03T06:05:37Z,225.0,"['Huawei S9 Luxury Sedan', '2024 Huawei S9 Review', 'Luxury Cars 2024', 'Sedan Comparison 2024', 'Huawei Cars Review', 'Latest Car Reviews', 'Best Luxury Sedans', 'Car Technology 2024', 'New Sedan Models 2024', 'Car Features Breakdown', 'Huawei Sedan 2024', 'Premium Sedans 2024', 'Car Enthusiast Reviews', 'Luxury Vehicle Unboxing', '2024 Car Models', 'High-Performance Sedans', 'Luxury Car Features', 'Advanced Car Technology', 'Future Cars 2024', 'Top Luxury Cars', 'Huawei Automotive', 'Ultimate Sedan Guide']",Autos & Vehicles
wh6zP0BD_NY,Lexus RX 350h Luxury [ALH10] review - Indonesia,https://i.ytimg.com/vi/wh6zP0BD_NY/maxresdefault.jpg,2790,32,4,63400,2023-03-12T01:00:07Z,1126.0,"['Lexus', 'RX', '350h', 'Luxury', 'ALH10', 'review', 'Indonesia']",Autos & Vehicles
Zanq234yS9M,2025 Lexus LS Review: A Game-Changer in Luxury Cars!,https://i.ytimg.com/vi/Zanq234yS9M/maxresdefault.jpg,196,3,0,2480,2024-09-03T21:30:03Z,251.0,[],Autos & Vehicles
pgf9inyokkM,8 BEST EXCITING LUXURY CARS COMING IN 2025,https://i.ytimg.com/vi/pgf9inyokkM/maxresdefault.jpg,61,2,0,1440,2024-08-30T18:03:44Z,306.0,"['wheel vista', '@wheelvista', 'BEST EXCITING LUXURY CARS COMING IN 2025', 'best luxury cars 2025', 'suv 2025', 'luxury cars 2025', 'cars 2025']",Autos & Vehicles
