video_id,title,thumbnail_url,views,likes,comments,subscriber_count,date_posted,duration,tags,category
C1-vvXqlehc,Want to become a pilot in Nepal after 10 th & 12 th ? || Pilot in Nepal || Full Details 2021 ||,https://i.ytimg.com/vi/C1-vvXqlehc/maxresdefault.jpg,2365,105,60,382,2021-07-07T14:47:51Z,309.0,"['#pilot in Nepal', '#fulll details 2021']",Education
oT4qL8A9_Yk,இலங்கையிலிருந்து எப்படி விமானி ஆகலாம்|how to become pilot in srilanka |,https://i.ytimg.com/vi/oT4qL8A9_Yk/maxresdefault.jpg,690,53,11,6870,2024-05-10T10:01:40Z,849.0,[],Travel & Events
DPdF9sA9nog,Dreams are coming true - Becoming a pilot,https://i.ytimg.com/vi/DPdF9sA9nog/maxresdefault.jpg,317,26,2,4880,2024-09-03T09:29:01Z,5888.0,[],Science & Technology
fb0Rq-DW_Yg,"How to Become a Pilot in 2024 | Pilot Salaries, Challenges, and Triumphs",https://i.ytimg.com/vi/fb0Rq-DW_Yg/maxresdefault.jpg,4958,223,39,25000,2024-08-12T17:30:11Z,2673.0,"['pilot interview', 'pilot podcast', 'pilot interview questions and answers', 'pilot pavi channel', 'pilot pavi', 'pilot kaise bane', 'pilot video', 'pilot kaise bane after 12th', 'pilot kaise bante hain', 'pilot kaise bane after 10th', 'how to become pilot in india', 'how to become pilot', 'how to become pilot after 12th', 'how to become pilot after 10th', 'how to become pilot after graduation', 'how to become pilot after 12', 'how to become pilot in Indian air force', 'how to become pilot in tamil']",Entertainment
02-gfh6CNwM,Boeing offers program to help employees become pilots,https://i.ytimg.com/vi/02-gfh6CNwM/maxresdefault.jpg,1056,19,3,241000,2022-02-16T05:11:52Z,202.0,"['stl', 'st. louis', 'news', 'local news', 'ktvi', 'kplr']",News & Politics
m9iIqcpbZmk,"How to Become Pilot Eligibility, Fees | விமான ஓட்டுநர்  பணிக்கு என்ன படிக்க வேண்டும்?",https://i.ytimg.com/vi/m9iIqcpbZmk/maxresdefault.jpg,855,24,2,384000,2022-07-09T11:43:18Z,182.0,"['pilot', 'to become a pilot what should i study', 'eligibility', 'after 12th', 'flying school', 'after graduation', 'how to become pilot after 12th', 'PAT exam details', 'best air flying school', 'pilot details in tamil', 'how to become pilot in tamil', 'salary for pilot', 'civil aviation', 'airport airlies', 'commercial pilot', 'pilot qualification', 'aviation courses', 'flight school', 'விமானி', 'ஓட்டுநர்', 'விமான ஓட்டுநர்']",Howto & Style
KCFASIRf2v8,One Day Pilot in KARACHI || You Can Become Pilot For One Day Through This Academy - Express News,https://i.ytimg.com/vi/KCFASIRf2v8/maxresdefault.jpg,1514,11,2,4350000,2022-12-26T14:55:33Z,116.0,"['pilot', 'pilot training', 'one day pilot', 'airline pilot', 'private pilot training', 'flight training', 'pilot life', 'female pilot', 'become a pilot', 'private pilot', 'one day pilot pk', 'one day as a pilot', 'one day pilot program in karachi', 'navy pilot training', 'student pilot training', 'pilot training in karachi', 'student pilot', 'navy fighter pilot training', 'private pilot training tips', 'private pilot in training', '1 day pilot', 'day as airline pilot', ""'one day pilot' programme""]",News & Politics
L2Md-1DB8tM,How to be pilot in emergency landing roblox?,https://i.ytimg.com/vi/L2Md-1DB8tM/maxresdefault.jpg,262,6,0,62800,2023-06-13T13:10:27Z,75.0,[],Education
BHIzECsXn2w,Do I need a degree to be a pilot?,https://i.ytimg.com/vi/BHIzECsXn2w/maxresdefault.jpg,4075,79,7,35900,2020-02-20T02:04:06Z,96.0,"['private pilot training', 'flight training', 'how to become a pilot', 'FAA pilot license', 'how to become a private pilot', 'how to become an airline pilot', 'private pilot training videos', 'private pilot ground school', 'private pilot written test prep', 'private pilot license', 'private pilot written exam', 'how to become a pilot in america']",People & Blogs
_ezD6ULnvas,Pilot Kaise Bane? पायलट कैसे बनें? How To Become Pilot In Hindi? Full Information,https://i.ytimg.com/vi/_ezD6ULnvas/maxresdefault.jpg,723,12,2,418000,2023-01-24T12:30:09Z,375.0,"['pilot kaise Bane', 'how to become pilot', 'how to become pilot in hindi', 'पायलट कैसे बनें', 'पायलट बनने में कितना खर्चा आता है', 'पायलट बनने के लिए कौन सा कोर्स करें', 'पायलट को कितनी सैलरी मिलती है', 'pilot salary', 'pilot banne ke liye budget']",Education
OPEPt08CFnI,How to Become a Pilot in Bitlife! ✈️✈️✈️,https://i.ytimg.com/vi/OPEPt08CFnI/sddefault.jpg,1150,10,3,5,2023-03-01T02:24:58Z,467.0,"['Bitlife', 'Gaming', 'Howto', 'Candywriter']",People & Blogs
65ZUDd5n5I4,Pilot Training: Step-by-Step Guide on How to become a Pilot in Hungary,https://i.ytimg.com/vi/65ZUDd5n5I4/maxresdefault.jpg,896,23,6,11700,2022-11-09T03:50:32Z,292.0,"['how to become a pilot', 'pilot', 'aviation']",Education
-ZKETTqD4yY,Pilot Training: Step-by-Step Guide on How to become a Pilot in the United Kingdom,https://i.ytimg.com/vi/-ZKETTqD4yY/sddefault.jpg,3799,64,9,11700,2022-10-24T05:37:41Z,278.0,"['aviation', 'pilot training', 'flight training', 'aspiring pilot', 'pilot', 'pilot school', 'Aviationfly']",Education
