iter	MultiClass
0	1.534546196
1	1.482439953
2	1.432198646
3	1.393717764
4	1.3560915
5	1.327151235
6	1.302396455
7	1.280017145
8	1.262253696
9	1.245494861
10	1.230834706
11	1.215060725
12	1.20152511
13	1.191465893
14	1.182217879
15	1.171086019
16	1.160884154
17	1.152648077
18	1.143679679
19	1.136733273
20	1.130080604
21	1.124581547
22	1.120710487
23	1.115378832
24	1.110965226
25	1.107219
26	1.103066283
27	1.099251904
28	1.095170743
29	1.093224214
30	1.090249645
31	1.087316129
32	1.0843477
33	1.080712203
34	1.077341102
35	1.074967162
36	1.073190592
37	1.071078093
38	1.069080512
39	1.067076797
40	1.064047067
41	1.062311936
42	1.060939243
43	1.059108145
44	1.057341665
45	1.055562067
46	1.052643747
47	1.051252892
48	1.050205138
49	1.047901983
50	1.046794125
51	1.045083086
52	1.042230459
53	1.041143346
54	1.040067932
55	1.036941019
56	1.035935293
57	1.033929657
58	1.032909846
59	1.031181289
60	1.03031871
61	1.028760382
62	1.028244506
63	1.027785621
64	1.026707826
65	1.025381412
66	1.024327705
67	1.023191108
68	1.021624803
69	1.019886844
70	1.017933759
71	1.016922827
72	1.016361399
73	1.015528401
74	1.01371065
75	1.012062184
76	1.010874077
77	1.009743626
78	1.009001873
79	1.00835605
80	1.00734374
81	1.006733363
82	1.005550342
83	1.004648565
84	1.003658397
85	1.002741675
86	1.002028124
87	1.001181916
88	1.000075821
89	0.9980376372
90	0.9973912608
91	0.9966556641
92	0.9961445051
93	0.9934408441
94	0.9927299139
95	0.9916916957
96	0.9910601896
97	0.9895829739
98	0.9880113468
99	0.9865233984
100	0.985126556
101	0.9838064269
102	0.9829275906
103	0.9816857599
104	0.9805102868
105	0.9791988565
106	0.9771326406
107	0.9754476569
108	0.9746436442
109	0.9735694277
110	0.9727318497
111	0.9714705782
112	0.9705780056
113	0.969442153
114	0.9685342568
115	0.9674073964
116	0.9660435725
117	0.9641899102
118	0.9630931771
119	0.9623145681
120	0.9608873657
121	0.9598751108
122	0.9578134322
123	0.9565020059
124	0.9553191753
125	0.9545165614
126	0.9528043854
127	0.9519048615
128	0.9508042321
129	0.9494444581
130	0.9481672053
131	0.9469866485
132	0.9458608836
133	0.9451885351
134	0.9438536647
135	0.942950612
136	0.9419214805
137	0.9403452275
138	0.9389667636
139	0.9375495882
140	0.9362385948
141	0.93470836
142	0.9335523827
143	0.9323077495
144	0.9318126333
145	0.9312546195
146	0.9300824921
147	0.9286519249
148	0.9278499109
149	0.9266294082
150	0.9254166149
151	0.9241101708
152	0.9232735046
153	0.9223856738
154	0.9212672264
155	0.9207491093
156	0.9193784482
157	0.9187738214
158	0.917210977
159	0.9160614556
160	0.9145680886
161	0.9140393332
162	0.9134832651
163	0.9126346899
164	0.9110181197
165	0.9101462075
166	0.9094044176
167	0.9089119004
168	0.9078809128
169	0.9066627326
170	0.9043537672
171	0.9033725653
172	0.9023267
173	0.9017659065
174	0.9012305871
175	0.9007118177
176	0.8999538247
177	0.8989276373
178	0.8979657515
179	0.8969396631
180	0.895722752
181	0.8946100356
182	0.8931791277
183	0.8917390556
184	0.8906867129
185	0.8897555216
186	0.8891171012
187	0.8876062345
188	0.8866100663
189	0.8856945308
190	0.8849039253
191	0.8837994925
192	0.8831027975
193	0.8819162456
194	0.8808925575
195	0.8802828043
196	0.879593783
197	0.8788084904
198	0.8782640802
199	0.8778600151
200	0.8770534273
201	0.8762560594
202	0.8750360364
203	0.874165247
204	0.8732187202
205	0.8722074784
206	0.8710475096
207	0.8704203497
208	0.8696417015
209	0.8689563022
210	0.8680126316
211	0.8674487161
212	0.8667453421
213	0.8657268569
214	0.8650270536
215	0.8640153647
216	0.8632117865
217	0.8624946458
218	0.8616139332
219	0.8608625284
220	0.8601052836
221	0.8593820817
222	0.8585692623
223	0.8578914184
224	0.8572900071
225	0.8566279071
226	0.8555668835
227	0.8547250666
228	0.8535665505
229	0.8525423848
230	0.8518575542
231	0.8509663828
232	0.8505366783
233	0.8497463354
234	0.849119346
235	0.8480977951
236	0.8473177969
237	0.8467029401
238	0.8459367759
239	0.8449849351
240	0.8441087731
241	0.8433352891
242	0.842513623
243	0.8416635718
244	0.8410936368
245	0.8403525241
246	0.8396579014
247	0.8391090136
248	0.8388940174
249	0.8382509008
250	0.837056714
251	0.8360313372
252	0.8351980037
253	0.834894464
254	0.8340315482
255	0.8335015725
256	0.8326183165
257	0.8322326797
258	0.8310612283
259	0.8300806901
260	0.8291317166
261	0.8285070171
262	0.8268005646
263	0.8261724992
264	0.8249561604
265	0.8242272136
266	0.8235733565
267	0.8227349184
268	0.8218284296
269	0.8209633576
270	0.820421423
271	0.8198328835
272	0.8187453671
273	0.8170224306
274	0.8162187753
275	0.8156537195
276	0.8149103804
277	0.8140415606
278	0.8128337492
279	0.8122785105
280	0.8118846778
281	0.8106933897
282	0.8100138496
283	0.8094769641
284	0.8089712517
285	0.8081197114
286	0.8073968638
287	0.8070103685
288	0.8056564718
289	0.8048314078
290	0.8042483865
291	0.8035974809
292	0.8022334027
293	0.8013126679
294	0.8002254705
295	0.7997870578
296	0.7990933587
297	0.7984744044
298	0.7976474975
299	0.7969492836
300	0.7962165213
301	0.7955880529
302	0.7952968355
303	0.7948727274
304	0.7935862081
305	0.7926566806
306	0.7919973259
307	0.7908883369
308	0.7902990045
309	0.7894960377
310	0.7887159524
311	0.787917627
312	0.7868202539
313	0.7860299221
314	0.7852154409
315	0.7842894479
316	0.7834663972
317	0.7825734245
318	0.7819200998
319	0.7812347776
320	0.7805831504
321	0.7796565981
322	0.778766256
323	0.7781003577
324	0.7774363473
325	0.7764324187
326	0.7755567601
327	0.7752802766
328	0.7747767946
329	0.773728737
330	0.7727810571
331	0.7721879255
332	0.7711235971
333	0.7704708525
334	0.7695041274
335	0.7684844264
336	0.7677550628
337	0.7670457551
338	0.7663286275
339	0.7659976725
340	0.7650546947
341	0.7647052112
342	0.764090005
343	0.7635999412
344	0.7631695572
345	0.7626729135
346	0.7616902516
347	0.7606871531
348	0.7597342262
349	0.759301697
350	0.7588908747
351	0.7581392822
352	0.7577359978
353	0.7570189199
354	0.7562266087
355	0.7558780666
356	0.7550746942
357	0.7544098573
358	0.7537353566
359	0.753032094
360	0.7522866219
361	0.7519253877
362	0.7509056295
363	0.7506118039
364	0.7500973851
365	0.7498354701
366	0.7492892638
367	0.7484266838
368	0.7477117134
369	0.7469552376
370	0.7456420535
371	0.7450048977
372	0.7442115085
373	0.7439145236
374	0.7430993875
375	0.7419309654
376	0.7413898719
377	0.7405372994
378	0.7403472929
379	0.7394826435
380	0.7383561252
381	0.7377968453
382	0.7369085288
383	0.7356195792
384	0.7350354507
385	0.7345554177
386	0.733756608
387	0.7330322544
388	0.7321566476
389	0.7318240445
390	0.7314581738
391	0.7308707621
392	0.7301474433
393	0.7292094261
394	0.7284575102
395	0.7277145497
396	0.7268566322
397	0.7263926207
398	0.7259896516
399	0.7255586044
400	0.7245480185
401	0.7242758335
402	0.7240431661
403	0.7230593609
404	0.722560429
405	0.7214674155
406	0.7207923001
