iter	Passed	Remaining
0	5	5041
1	9	4515
2	12	4276
3	16	4217
4	21	4276
5	25	4161
6	28	4113
7	32	4060
8	36	4037
9	40	4008
10	44	3957
11	48	4024
12	52	3997
13	56	3959
14	60	3953
15	64	3936
16	67	3924
17	71	3920
18	75	3908
19	79	3908
20	83	3890
21	87	3884
22	91	3866
23	95	3870
24	98	3858
25	102	3841
26	106	3828
27	109	3812
28	113	3810
29	117	3809
30	121	3809
31	125	3797
32	129	3793
33	133	3790
34	137	3788
35	141	3784
36	145	3792
37	149	3793
38	153	3791
39	157	3782
40	161	3781
41	165	3772
42	169	3767
43	173	3760
44	177	3756
45	180	3751
46	185	3751
47	188	3740
48	192	3727
49	196	3725
50	199	3717
51	203	3714
52	207	3708
53	211	3701
54	215	3694
55	219	3696
56	223	3689
57	227	3688
58	231	3684
59	235	3683
60	238	3673
61	242	3672
62	246	3669
63	250	3663
64	254	3655
65	257	3647
66	261	3639
67	265	3645
68	269	3637
69	273	3631
70	277	3632
71	281	3630
72	285	3626
73	289	3619
74	293	3617
75	297	3612
76	300	3607
77	304	3603
78	308	3598
79	312	3591
80	316	3587
81	319	3582
82	323	3578
83	327	3573
84	331	3568
85	335	3563
86	339	3560
87	343	3562
88	347	3557
89	351	3553
90	355	3548
91	359	3544
92	362	3537
93	367	3541
94	371	3538
95	375	3534
96	379	3528
97	382	3524
98	386	3519
99	390	3516
100	394	3510
101	398	3506
102	402	3501
103	405	3497
104	409	3493
105	413	3485
106	417	3483
107	421	3479
108	425	3474
109	428	3470
110	432	3464
111	436	3459
112	440	3459
113	444	3457
114	448	3452
115	452	3446
116	456	3443
117	460	3443
118	464	3440
119	468	3436
120	473	3438
121	477	3437
122	482	3437
123	486	3434
124	490	3434
125	494	3427
126	498	3424
127	502	3421
128	506	3418
129	510	3414
130	514	3410
131	518	3407
132	522	3406
133	526	3402
134	530	3400
135	534	3397
136	539	3398
137	543	3393
138	547	3390
139	551	3387
140	555	3386
141	559	3383
142	564	3381
143	568	3378
144	572	3377
145	576	3372
146	580	3371
147	585	3368
148	589	3365
149	593	3362
150	597	3361
151	601	3358
152	606	3355
153	610	3351
154	613	3347
155	617	3341
156	621	3336
157	625	3332
158	629	3329
159	633	3325
160	638	3325
161	641	3319
162	645	3316
163	649	3313
164	653	3309
165	657	3304
166	661	3301
167	665	3294
168	669	3294
169	673	3289
170	678	3287
171	681	3282
172	685	3278
173	689	3273
174	693	3270
175	697	3264
176	701	3261
177	705	3256
178	709	3252
179	712	3246
180	716	3241
181	720	3237
182	724	3234
183	728	3230
184	732	3225
185	736	3223
186	740	3218
187	744	3217
188	749	3213
189	753	3210
190	756	3206
191	760	3201
192	764	3198
193	768	3194
194	772	3190
195	776	3185
196	780	3180
197	784	3176
198	787	3171
199	791	3167
200	795	3163
201	799	3160
202	804	3157
203	807	3152
204	811	3148
205	815	3145
206	819	3140
207	823	3136
208	828	3133
209	832	3131
210	836	3126
211	840	3123
212	844	3119
213	848	3115
214	852	3111
215	856	3106
216	859	3102
217	863	3098
218	867	3094
219	871	3090
220	875	3085
221	879	3082
222	883	3078
223	887	3075
224	891	3070
225	895	3065
226	899	3062
227	903	3058
228	907	3055
229	911	3050
230	914	3045
231	918	3041
232	922	3037
233	926	3033
234	930	3028
235	934	3023
236	937	3019
237	942	3016
238	945	3011
239	949	3007
240	953	3002
241	957	2998
242	961	2994
243	965	2991
244	969	2987
245	973	2983
246	977	2979
247	981	2976
248	985	2971
249	989	2968
250	994	2967
251	998	2963
252	1002	2959
253	1006	2955
254	1010	2951
255	1014	2947
256	1018	2943
257	1022	2939
258	1026	2935
259	1030	2932
260	1034	2927
261	1038	2924
262	1042	2921
263	1046	2917
264	1050	2913
265	1054	2909
266	1058	2904
267	1062	2901
268	1065	2896
269	1069	2892
270	1073	2888
271	1077	2883
272	1081	2878
273	1084	2874
274	1088	2870
275	1092	2865
276	1096	2862
277	1100	2858
278	1105	2856
279	1110	2855
280	1114	2852
281	1120	2852
282	1126	2854
283	1131	2852
284	1135	2849
